2026-07-20 11:58:41,485 - syn_flood - INFO - Iniciando ataque SYN Flood contra 192.168.200.2
2026-07-20 11:58:43,420 - syn_flood - INFO - Paquetes enviados: 100, Velocidad: 51.67 paquetes/segundo
2026-07-20 11:58:45,338 - syn_flood - INFO - Paquetes enviados: 200, Velocidad: 51.90 paquetes/segundo
2026-07-20 11:58:47,241 - syn_flood - INFO - Paquetes enviados: 300, Velocidad: 52.12 paquetes/segundo
2026-07-20 11:58:49,136 - syn_flood - INFO - Paquetes enviados: 400, Velocidad: 52.28 paquetes/segundo
2026-07-20 11:58:51,050 - syn_flood - INFO - Paquetes enviados: 500, Velocidad: 52.27 paquetes/segundo
2026-07-20 11:58:53,012 - syn_flood - INFO - Paquetes enviados: 600, Velocidad: 52.05 paquetes/segundo
2026-07-20 11:58:54,882 - syn_flood - INFO - Paquetes enviados: 700, Velocidad: 52.25 paquetes/segundo
2026-07-20 11:58:56,871 - syn_flood - INFO - Paquetes enviados: 800, Velocidad: 51.99 paquetes/segundo
2026-07-20 11:58:58,877 - syn_flood - INFO - Paquetes enviados: 900, Velocidad: 51.75 paquetes/segundo
2026-07-20 11:59:00,754 - syn_flood - INFO - Paquetes enviados: 1000, Velocidad: 51.90 paquetes/segundo
2026-07-20 11:59:02,669 - syn_flood - INFO - Paquetes enviados: 1100, Velocidad: 51.92 paquetes/segundo
2026-07-20 11:59:04,529 - syn_flood - INFO - Paquetes enviados: 1200, Velocidad: 52.07 paquetes/segundo
2026-07-20 11:59:06,441 - syn_flood - INFO - Paquetes enviados: 1300, Velocidad: 52.09 paquetes/segundo
2026-07-20 11:59:08,356 - syn_flood - INFO - Paquetes enviados: 1400, Velocidad: 52.10 paquetes/segundo
2026-07-20 11:59:10,405 - syn_flood - INFO - Paquetes enviados: 1500, Velocidad: 51.87 paquetes/segundo
2026-07-20 11:59:12,457 - syn_flood - INFO - Paquetes enviados: 1600, Velocidad: 51.66 paquetes/segundo
2026-07-20 11:59:14,414 - syn_flood - INFO - Paquetes enviados: 1700, Velocidad: 51.63 paquetes/segundo
2026-07-20 11:59:15,418 - syn_flood - INFO - Ataque detenido. Total de paquetes enviados: 1752
